,0,1,2,3
65,아이폰 14 퍼플 256 자급제 (미개봉 새제품),840000,47분 전,경기도 화성시 동탄4동
66,아이폰14 맥세이프 케이스(낱개 구매 가능),9000,47분 전,전국
67,아이폰14프로256딥퍼플,900000,35분 전,경기도 평택시 송북동
68,아이폰 14프로 128G 블랙 배터리 89% 92만원에 팝니다,920000,59분 전,대전광역시 중구 은행선화동
69,아이폰14pro 256gb 블랙 애플케어,950000,53분 전,경기도 화성시 비봉면
70,아이폰 14 교환 교신,250000,56분 전,전국
71,아이폰 14프로 256g,820000,54분 전,충청북도 충주시 대소원면
72,아이폰 14프로 128 화이트,870000,58분 전,전국
73,케이스티파이 아이폰14 프로 에리얼 인어공주,30000,27분 전,서울특별시 관악구 보라매동
74,아이폰14 그라데이션 카드범퍼 케이스,8000,57분 전,부산광역시 부산진구 전포제1동
75,아이폰14 정품 실리콘케이스 프로덕트레드색상,40000,51분 전,서울특별시 은평구 신사제1동
76,중고폰매입 아이폰매입 아이폰15프로 아이폰14프로맥스 아이폰12프로맥스,555000,AD,인천광역시 부평구 부평1동
77,베이시스 아이폰 14 케이스 스트랩,20000,44분 전,전국
78,(새상품)아이폰14 어프어프 하드케이스 알로하 코비 치치,5000,50분 전,전국
79,신지모루 범퍼 강화 4DX 에어팁 젤리 휴대폰 케이스,8730,광고,
80,아이폰14 플러스 정품 가죽케이스 세쿼이아 그린색상,40000,51분 전,서울특별시 은평구 신사제1동
81,아이폰매입 아이폰11프로 아이폰12프로 아이폰x 아이폰14 아이폰14프로,970000,AD,인천광역시 부평구 부평1동
82,디젤 아이폰 14프로 케이스,110000,30분 전,전국
83,새상품) 아이폰 13/14젤리 케이스,5000,34분 전,전국
84,(새싱품) 아이폰14 케이스티파이 디스이즈네버댓 케이스,83000,44분 전,전국
85,단순개봉 아이폰14 플러스 정품 실리콘게이스 초크핑크 팝니다,25000,54분 전,경기도 파주시 운정2동
86,새상품)아이폰케이스 정리13/14/14max,5000,34분 전,전국
87,아이폰14프로 128g아이폰15프로나 프로맥스 교환 추금제시 여의도 직거,8282,32분 전,서울특별시 영등포구 여의동
88,아이폰 14프로 실버 128기가 판매,800000,45분 전,경기도 평택시 안중읍
89,바이마이파이 납작복숭아 폰케이스 아이폰14 폰케이스,10000,44분 전,전국
90,아이폰14프로맥스 실버 256(배터리100찍힘x)+애케플(25.7월)급매,1380000,48분 전,전라남도 순천시 해룡면
91,아이폰14,330000,1시간 전,전국
92,아이폰14 미러 케이스티파이,29000,1시간 전,서울특별시 중랑구 중화제2동
93,아이폰14 메종키츠네 케이스티파이,85000,1시간 전,서울특별시 중랑구 중화제2동
94,아케나 변색방지 아이폰 투명 케이스 4개입,8900,광고,
95,케이스티파이x마뗑킴 아이폰14프로,110000,1시간 전,부산광역시 남구 대연제1동
96,(새제품) 아이폰14프로맥스 맥세이프 케이스,15000,1시간 전,서울특별시 강남구 역삼1동
97,아이폰 14프로맥스 정품 투멍케이스,30000,1시간 전,전국
98,아이폰 14프로맥스 케이스티파이x마하리쉬,50000,1시간 전,전국
99,아이폰14 퍼플 256 배터리89프로,625000,1시간 전,전국
