title,context,price,upload_date,location,status,imgUrl,url
프레임바이 아이폰 14프로 투명케이스,"미개봉 새제품입니다
아이폰 14pro
카드 1장 수납 버전",10000,2024.06.05,평택시 현덕면,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/2a7e80d0f01f43e3619840bb9e3d68cdd35f9ebbb570fdc850a036fe452a80ce.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872571
"
아이폰15프로맥스 실리콘및 투명케이스2개 판매,"아이폰15프로맥스 실리콘및 투명케이스2개 판매
s급입니다
기스찍힘없습니다
2개 가격입니다
사진참고 하세요
맥세이프 안됩니다",5000,2024.06.05,동구 율하동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/a01ed0609e86928c06e1ca6eeac3d36d3a88f3eb3e28c5bf1fe3c036e09e9379.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872666
"
아이폰 12 투명케이스,"한꺼번에 많이 사뒀는데 폰을 바꿔버렸습니다 … ㅋㅋㅋㅋ 사진에서는 누렇게 나왔는데 쓴 적 없는 새것입니다
하나당 1000원이고 5개 다 사시면 4000원에 해드릴게요",1000,2024.06.05,성남시 분당구 정자동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/580fcda2dfdcaeaa7308183fb690ba2a2f6fa2d553507dc22abf33372119baf3.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872813
"
아이폰 14프로 블랙 256,"구매한지 1년반정도 됬으나 구매후 한번도
케이스 빼고 사용한적 없어서 찍힘이나 기스
일절 없이 깔끔해요 !
쿨거 하시면 쪼금 낮춰드릴게요 ☺️
편하게 연락 주세요~
( 터무니없는 가격 제시하거나 교신 안받아요 😭 )",800000,2024.06.05,서구 치평동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/92457af5af56578986cfd4335bf211833922106bfa8b476481e55ab5c0bcf31e.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872883
"
아이폰 7 플러스 128gb 급매,아이폰 7 플러스 128GB입니다. 배터리는 작년쯤 서강잡스에서 정품 배터리로 교체했습니다. 액정 모서리 4면에 크랙 있고 후면 하우징은 카메라 주변 동그랗게 눌린 자국과 하단 까짐 제외하면 매우 깨끗합니다. 단 배터리 교체한 후부터 자동밝기조절이 왔다갔다해서 저는 꺼놓고 썼습니다. 강화유리 필름 하나 같이 드리며 여기에 핸드폰 내동댕이쳐도 안깨지는 왕튼튼하고 두꺼운 케이스 하나랑 보통 말랑말랑한 케이스 하나씩 해서 케이스 두개 같이 드립니다. 박스도 있지만 충전케이블은 정품 아니고 어댑터는 없습니당.,115000,2024.06.05,마포구 도화동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/f38b1ba65c1e4a401a795692f5fa21cef94b6b9f352dbd52501ae95b5d6ba09d.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872890
"
[풀박스 S급]아이폰12promax 128GB 퍼시픽블루,"모델명 : 아이폰12promax 128GB 퍼시픽블루
배터리성능 : 88%
소모품 미사용 풀박스!!
재작년에 애케플 만기전에 리퍼 한번 받고 케이스 씌워서 조심히 써서 동그라미 친 흠집 하나 제외하고는 그 흔한 생활기스도 없는 S급 입니다!!
투명케이스 4개
캐릭터케이스 3개
목걸이케이스 1개
일반필름 1장
강화유리필름 5장
사이드필름 1장
usb to lighting 케이블 1개(정품아님)
위 상품 다 같이 드려요!!
직거래는 산본중앙공원, 군포문화예술회관 근처에서 가능합니다:)",690000,2024.06.05,군포시 광정동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/eedeb632135780f3ede1939d4fd864aa9741589ace48eefa9676d2762e344547.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871974
"
미개봉) 아이폰15PRO 256g 자급제,"자급제 아이폰15pro 256g미개봉
블랙티타늄1개
화이트티타늄1개
총 2개 있습니다.
서현동 우성아파트 직거래 합니다.
가격 인하는 어렵습니다-",1350000,2024.06.05,성남시 분당구 서현동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/c77c1040d2c70bb7598c142730d18e45a28b7f98fef8e8b36814d5b176beca8b.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872104
"
아이폰 13 256G 화이트,"아이폰 13 256G 화이트 색상입니다!
외관 상태는 사진과 같이 정말 깨끗하고, 기능은 아무 이상없이 정상 동작합니다!
수리내역 및 박스랑 보호필름은 없으며, 직거래 희망합니다!",550000,2024.06.05,광주시 초월읍,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/4eba99168b38371d0403459a7721156a28b0671eaec1c68cb8c5b421f718f101.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872143
"
아이폰 8핀 케이블 2개 일괄 판매해요,8핀 USB타입 케이블이고 정품은 아닙니다. 1개는 새제품이고 1개도 거의 새거에요 2개 일괄 9천원입니다,9000,2024.06.05,천안시 서북구 두정동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/b970b208001d6bb79da962274971803e11998cc93f034fb036108ca421571d98.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872146
"
아이폰12mini 공기계팔아요💛,"휴대폰을 새로 바꾸게되어 팔아요
화이트색상이구~
액정도 멀쩡하고 기능도 잘됩니다 충전하는쪽애 작은기스하나뿐이고 잔기스도없구요
배터리 성능76프로 입니다
충전 자주해서 저는불편하지않았습니다 ~
작은휴대폰 좋아하시는분에게 딱입니다
가볍고 좋아요^^",600000,2024.06.05,중구 봉산동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/39d83b110214cd2934307f660536be034d5b52b6881a6251790ebd06910c1a80.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872231
"
