title,context,price,upload_date,location,status,imgUrl,url,condition
할인가능] 2020 맥북에어 13인치 그레이 8GB 256GB 노트북 맥,"혹시 휴대폰으로 보고 계신가요?
더보기를 꼭! 눌러서 제품 내용을 확인해주세요!
⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬⏬

☝ 약속합니다 ☝

💯 초기화가 되어있습니다. 바로 사용하실 수 있습니다
💯 판매 전 모든 검수를 마친 기능고장 없는 정상제품입니다.

📋 제품 설명 📋
2020 맥북에어 인텔 그레이 (8GB, SSD 256GB)
(영문자판) 

📋 상세사양 📋 
CPU : 인텔 / 코어i3-10세대 / i3-1000NG4 (1.1GHz) / 듀얼(2)코어
RAM : LPDDR4x / 램 용량: 8GB / 3733MHz / 램 교체: 불가능
GPU : 내장그래픽 / Iris Plus
디스플레이 : 33.78cm(13.3인치) / 2560x1600(WQXGA)
저장장치 : SSD / 256GB

💥💥💥💥💥💥💥💥💥
💥💥 꼭! 읽어보세요! 💥💥
💥💥💥💥💥💥💥💥💥

✔ 보고계신 모든 물건은 100% 직접 촬영 입니다.
✔ 후기와 판매내역이 많습니다.
✔ 택배/퀵서비스/직거래 전부 가능합니다.

🚀거래방식🚀

🤝    직거래     🤝
🤝   퀵서비스   🤝
🤝    택배     🤝

🤳직거래🤳

독산역 2번출구 근처에서 거래 가능하며 주차 가능합니다



🚚택배거래🚚

택배는 로젠택배입니다.
15시 이전 주문시 당일발송 100% 보장합니다
에어캡과 완충제를 아끼지 않습니다.
구매후기 작성시 택배비는 무료입니다. 

🏍퀵서비스🏍

퀵 서비스로 당일 수령이 가능합니다.
퀵 서비스 비용은 착불입니다.",460000,2024.06.05,서울특별시 금천구 가산동,0,https://media.bunjang.co.kr/product/263410357_1_1717641305_w856.jpg,"https://m.bunjang.co.kr/products/263410357?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
2020 맥북에어 13인치,"2020 7월 22일 구입
맥북에어 i3 인텔 256GB 8GB
싸이클수 87 
구성: 박스 충전기 
쓰는거는 초반에 메모나 넷플만 시청 했고 
사용을 안 하게 돼서 팝니다! 
상태 진짜 좋아요 쿨거 하시면 에눌 가능
직거래 - 서울,경기
택배비 무료",600000,2024.06.04,경기도 성남시 중원구 성남동,0,https://media.bunjang.co.kr/product/233904432_1_1692714115_w856.jpg,"https://m.bunjang.co.kr/products/233904432?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",중고
미개봉)Apple 맥북 에어 13 스페이스 그레이 M1 /256GB8GB,"직거래 탄현동 핸드폰 매장에서 가능합니다 !!

택배거래시 착불",1050000,2024.06.05,-,0,https://media.bunjang.co.kr/product/258373502_1_1713178177_w856.jpg,"https://m.bunjang.co.kr/products/258373502?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",새 상품
맥북에어m1,"안녕 하세요 작년 6월쯤 구매해서 집에서 넷플릭스 용도로만 사용했던 맥북 에어 판매 할려고 합니다
기스나 배터리 등은 사진에 있는 그대로입니다!
박스는 있으나 충전기는 없습니다 ㅜ!
8GB,256gb입니다",750000,2024.06.04,-,0,https://media.bunjang.co.kr/product/266899510_1_1716809886_w856.jpg,"https://m.bunjang.co.kr/products/266899510?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 M2 15인치,"8코어 CPU
10코어 GPU
8GB RAM
512GB
실버색상입니다. 


23년 8월 구매로 보증기간은 24년 8월까지 입니다.

구매 후 넷플릭스나 유튜브 시청 외에는 거의 사용하지 않아서 배터리 사이클 17회에 성능은 100%이고 내,외부 깨끗하고 새것과 다름 없습니다.

충전기 어댑터, 케이블 모두 포함되어있는 풀박스로 구성되어 있습니다.

 
관심 있으신분들 편하게 연락주세요.",1450000,2024.06.04,서울특별시 관악구 청룡동,0,https://media.bunjang.co.kr/product/260407099_1_1717342067_w856.jpg,"https://m.bunjang.co.kr/products/260407099?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어m1,"2022년경 구매하여 세컨드용으로 사용한 맥북입니다.
아이맥을 봄체로 세컨드용 맥북을 m3로 변경하게 되어 판매합니다

1) 구매 직후 케이스 끼고 사용하여 맥북 자체에는 스크래치 없습니다
2) 사무실에서만 두고 사용하였습니다
3) 박스 있습니다 (충전기는 없습니다)
4) 배터리 91퍼입니다 (이정도면 번개장터등에서 아마 높은 축에 속합니다.-실제 사용해보면 하루는 거뜬하고 제가 사용할때에는 2일 정도에 한번 충전해주면 언제든 사용 가능했습니다)
5) 액정도 전용 액정 닦개로 늘 닦아주었습니다

* 맥북을 처음으로 입문 하시는 분들께 특히 추천드리며 대학생분들께도 추천드립니다.
* 직거래는 익산 지역이나 경기도 김포 지역에서 가능하며 택배거래로 진행하는 경우 상호 신뢰를 위해서 오직 번개페이(물건 확인 후 대금 처리 방식)로만 진행합니다
* 추가적으로 궁금하신 내용 있으심 연락주세요!",650000,2024.06.04,전북특별자치도 익산시 마동,0,https://media.bunjang.co.kr/product/269463355_1_1717552623_w856.jpg,"https://m.bunjang.co.kr/products/269463355?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 적음
맥북에어 m1,"Ram :8 기가
용량 256 기가 
배터리 효율 :96%

2021년에 대학교 입학했을때 과제 하려고 샀는데 막상 사고 실용성을 잘 못느껴서 10번? 15번밖에 안썼고 방치해놓기보다 차라리 팔자해서 등록합니다 배터리 성능은 96%정도로 얼마 쓰지도 않았습니다 상태는a라고 말씀 드릴정도로 사용하는데 문제 전혀 없습니다 거의 유튜브랑 넷플릭스 보는용도로 썼어요!화면에 묻은 지문은 깨끗이 닦아서 드리겠습니다 충전기까지 챙겨드릴게요 무선 마우스도 있어요 궁금한 점들은 연락 주세요 대신에 찔러보기는 자제부탁드릴게요.. ㅎㅎ
맥북 모델은 2021년 모델이에요!",700000,2024.06.04,충청남도 서산시 수석동,0,https://media.bunjang.co.kr/product/252912670_1_1712579322_w856.jpg,"https://m.bunjang.co.kr/products/252912670?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 m2 15인치,"사용감 거의 없는 맥북에어 m2 팔아요. 싸이클 4, 100% 
8월까지 보증 남아있음.",1250000,2024.06.04,-,0,https://media.bunjang.co.kr/product/269507234_1_1717637820_w856.jpg,"https://m.bunjang.co.kr/products/269507234?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
[55] 애플 2020 M1 맥북에어 실버 8GB 256GB A2337,"[55] 애플 2020 M1 맥북에어 실버 8GB 256G
B A2337 MGN93KH/A

2020 Apple MacBook Air M1 CPU 8Core / GPU 7Core RAM 8GB SSD 256GB

이번 M3 맥북에어로 넘어가게되어 정리합니다
M1 맥북에어를 구매하고 스코코 전체 보호필름을 부착하였지만 가방이없을때 떨어트려서 외관에 손상이있습니다만 기능상 사용상 이상은없습니다

상판, 하판, 팜레스트, 트랙패드 외부보호필름과 액정보호필름 아직 붙어있고, 배터리는 83% 입니다

겉박스까지 보관하여서 구성품은 충전기, 케이블까지 풀박스로 드립니다

거래가능지역은 고양시 일산지역이며, 반값택배or일반택배는 추가금액 있습니다
상황상 거리나 시간이 괜찮다면 덕양구까지도 거리조절은 어느정도 가능합니다",550000,2024.06.05,-,0,https://media.bunjang.co.kr/product/262488248_1_1714960177_w856.jpg,"https://m.bunjang.co.kr/products/262488248?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 많음
ssss급 풀박 맥북 에어 m1 256기가 8기가 배터리100%ㅍㅍㅍㅍ,"구매한지 2년 된 새거 맥북 팔아요

외부내부 무광필름 업체맡겨서 붙임

메모리,배터리정보 등
사진에 첨부 해놨습니다!

풀박스,충전기(케이블선,어뎁터)

맥북 케이스,충전기케이스 증정


공장초기화 해놔서 처음 사용시 
영어로 되어있음

설정 마치고 한국어로 바꾸셔야돼여!

더 궁금하신점 톡 주세여!",800000,2024.06.05,서울특별시 광진구 능동,0,https://media.bunjang.co.kr/product/252510102_1_1712654565_w856.jpg,"https://m.bunjang.co.kr/products/252510102?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
